Key,en,es,ar,fr
appLResetPasswordDescriptionText,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password.,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer su contraseña de forma segura.,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا إلى الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن.,Prenez le contrôle de votre compte en réinitialisant votre mot de passe. Notre page de récupération de mot de passe vous guide à travers les étapes nécessaires pour réinitialiser votre mot de passe en toute sécurité.
appLLogInDescriptionText,Become a part of our community by login or registering for an account today. Enjoy a range of benefits and features tailored to meet your needs.,Conviértase en parte de nuestra comunidad iniciando sesión o registrándose para obtener una cuenta hoy. Disfrute de una variedad de beneficios y características diseñadas para satisfacer sus necesidades.,كن جزءًا من مجتمعنا عن طريق تسجيل الدخول أو التسجيل للحصول على حساب اليوم. استمتع بمجموعة من المزايا والميزات المصممة خصيصًا لتلبية احتياجاتك.,Devenez membre de notre communauté en vous connectant ou en créant un compte dès aujourd'hui. Bénéficiez d’une gamme d’avantages et de fonctionnalités adaptés à vos besoins.
appLYouCanResend,You Can Resend,Puedes reenviar,يمكنك إعادة الإرسال,Vous pouvez renvoyer
appLSkip,Skip,Saltar,يتخطى,Sauter
appLNewPassword,New Password,Nueva contraseña,كلمة المرور الجديدة,Nouveau mot de passe
appLConfirmPassword,Confirm Password,confirmar Contraseña,تأكيد كلمة المرور,Confirmez le mot de passe
appLChangePassword,Change Password,Cambiar la contraseña,تغيير كلمة المرور,Changer le mot de passe
appLOldPassword,Old Password,Contraseña anterior,كلمة المرور القديمة,Ancien mot de passe
appLResetPassword,Reset Password,Restablecer contraseña,إعادة تعيين كلمة المرور,Réinitialiser le mot de passe
appLResetPasswordTile,Please enter a new password,Por favor ingrese una nueva contraseña,الرجاء إدخال كلمة مرور جديدة,Veuillez entrer un nouveau mot de passe
appLResetPasswordDes,"Create a strong password with a mix of letters, numbers, and symbols to keep your account safe","Cree una contraseña segura con una combinación de letras, números y símbolos para mantener su cuenta segura",أنشئ كلمة مرور قوية مكونة من مزيج من الأحرف والأرقام والرموز للحفاظ على أمان حسابك,"Créez un mot de passe fort avec un mélange de lettres, de chiffres et de symboles pour assurer la sécurité de votre compte"
appLCountry,Country,País,دولة,Pays
appLSelectArea,Select Area,Seleccionar área,حدد المنطقة,Sélectionnez une zone
appLSelectADate,Select a date,Selecciona una fecha,حدد تاريخا,Sélectionnez une date
appLSelectType,Select type,Seleccionar tipo,اختر النوع,Sélectionnez le type
appLPhone,Phone,Teléfono,هاتف,Téléphone
appLAddress,Address,DIRECCIÓN,عنوان,Adresse
appLCity,City,Ciudad,مدينة,Ville
appLState,State,Estado,ولاية,État
appLZipCode,Zip Code,Código postal,الرمز البريدي,Code postal
appLUpdate,Update,Actualizar,تحديث,Mise à jour
appLEditProfile,Edit Profile,Editar perfil,تحرير الملف الشخصي,Modifier le profil
appLDelete,Delete,Borrar,يمسح,Supprimer
appLSelectATime,Select a time,Seleccione una hora,حدد الوقت,Sélectionnez une heure
appLFindCar,Find Car,encontrar coche,ابحث عن سيارة,Trouver une voiture
appLNote,Note,Nota,ملحوظة,Note
appLRoundTripDate,Round Trip Date,Fecha de ida y vuelta,تاريخ الرحلة ذهابًا وإيابًا,Date du voyage aller-retour
appLRoundTripTime,Round Trip Time,Tiempo de ida y vuelta,وقت الرحلة ذهابًا وإيابًا,Temps de trajet aller-retour
appLOptional,(Optional),(Opcional),(خياري),(Facultatif)
appLNoDataFound,No Data Found,No se encontraron datos,لم يتم العثور على بيانات,Aucune donnée trouvée
appLBookingSuccessfully,Your Booking Is Successfully Completed,Su reserva se completó con éxito,اكتمل حجزك بنجاح,Votre réservation est complétée avec succès
appLContinue,Continue,Continuar,يكمل,Continuer
appLConfirm,Confirm,Confirmar,يتأكد,Confirmer
appLPayWIth,Pay With,Pagar con,ادفع باستخدام,Payer avec
appLNoContentAvailable,No onboarding content available,No hay contenido de incorporación disponible,لا يوجد محتوى متاح,Aucun contenu d'intégration disponible
appLSelectCurrency,Select Currency,Seleccionar moneda,حدد العملة,Sélectionnez la devise
appLSelectCountry,Select Country,Seleccionar país,اختر البلد,Sélectionnez un pays
appLSelectMethod,Payment Method,Método de pago,طريقة الدفع,Mode de paiement
appLConfirmBooking,Confirm Booking,Confirmar reserva,تأكيد الحجز,Confirmer la réservation
appLLanguage,Language,Idioma,لغة,Langue
appLAreYouSure,Are you sure you want to log out of your account?,¿Está seguro de que desea cerrar sesión en su cuenta?,هل أنت متأكد أنك تريد تسجيل الخروج من حسابك؟,Êtes-vous sûr de vouloir vous déconnecter de votre compte ?
appLAreYouSureDelete,Are you sure you want to Delete your account?,¿Estás seguro de que quieres eliminar tu cuenta?,هل أنت متأكد أنك تريد حذف حسابك؟,Êtes-vous sûr de vouloir supprimer votre compte ?
appLLocationNotAbleAble,Not available,No disponible,غير متوفر,Pas disponible
appLLogOut,Log Out,Finalizar la sesión,تسجيل الخروج,Se déconnecter
appLLogOu,Log Out?,¿Finalizar la sesión?,تسجيل الخروج؟,Se déconnecter ?
appLCancel,Cancel,Cancelar,يلغي,Annuler
appLRestart,Restart,Reanudar,إعادة تشغيل,Redémarrage
appLLongTitle,"This car is amazing! Its fast, powerful, and handles like a dream.","¡Este auto es increíble! Es rápido, potente y se maneja como un sueño.",هذه السيارة مذهلة! إنه سريع وقوي ويتعامل مثل الحلم.,"Cette voiture est incroyable ! C’est rapide, puissant et se manipule comme un rêve."
appLLongText,"Maintain 1,000+ horsepower all the way to 200 mph with Tri-Moto All-Wheel Drive, featuring high-torque vector and three independent clutched sleeved rotors.","Mantenga más de 1,000 caballos de fuerza hasta 200 mph con la tracción en las cuatro ruedas Tri-Moto, que cuenta con vector de alto torque y tres rotores con camisa con embrague independientes.",حافظ على قوة تزيد عن 1000 حصان حتى سرعة 200 ميل في الساعة مع نظام الدفع الرباعي Tri-Moto، الذي يتميز بمتجه عزم دوران عالي وثلاثة دوارات ذات أكمام مستقلة.,"Maintenez plus de 1 000 chevaux jusqu'à 200 mph avec la transmission intégrale Tri-Moto, dotée d'un vecteur de couple élevé et de trois rotors à manchons à embrayage indépendant."
appLHome,Home,Hogar,بيت,Maison
appLEnterYourEmail,Enter Your Email,Ingrese su correo electrónico,أدخل بريدك الإلكتروني,Entrez votre e-mail
appLEnterEmail,Enter Email,Ingrese el correo electrónico,أدخل البريد الإلكتروني,Entrez l'e-mail
appLEnterPassword,Enter Password,Ingrese la contraseña,أدخل كلمة المرور,Entrez le mot de passe
appLDontHaveAccount,Didnt  Have Account,No tenía cuenta,لم يكن لديك حساب,Je n'avais pas de compte
appLEnterEmailAddress,Enter Your Email Address,Ingrese su dirección de correo electrónico,أدخل عنوان بريدك الإلكتروني,Entrez votre adresse e-mail
appLEnterYourPassword,Enter Your Password,Ingrese su contraseña,أدخل كلمة المرور الخاصة بك,Entrez votre mot de passe
appLBuyNow,Buy Now,Comprar ahora,اشتري الآن,Acheter maintenant
appLEnterTheOtpVerification,Enter The Otp Verification,Ingrese la verificación OTP,أدخل التحقق من Otp,Entrez la vérification Otp
appLWeSentGitCodeHere,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí.,لقد أرسلنا رمزًا مكونًا من 6 أرقام هنا,Nous avons envoyé un code à 6 chiffres ici
appLLogInTitleTextVendor,Welcome to Carbo Vendor Portal,Bienvenido al portal de proveedores de Carbo,مرحبًا بك في بوابة بائع كاربو,Bienvenue sur le portail des fournisseurs Carbo
appLResetPasswordTitleTextVendor,Forget Password,Olvidar Contraseña,نسيت كلمة المرور,Mot de passe oublié
appLLogInDescriptionTextVendor,Access tools that make managing your car bookings simple and efficient.,Acceda a herramientas que hacen que la gestión de sus reservas de automóviles sea sencilla y eficiente.,الوصول إلى الأدوات التي تجعل إدارة حجوزات سيارتك بسيطة وفعالة.,Accédez à des outils qui rendent la gestion de vos réservations de voitures simple et efficace.
appLLogInDescriptionText2,"Built for vendors, designed for growth.","Creado para proveedores, diseñado para el crecimiento.",بنيت للبائعين، مصممة للنمو.,"Conçu pour les fournisseurs, conçu pour la croissance."
appLRegisterTitleText,Register Your Account,Registre su cuenta,سجل حسابك,Enregistrez votre compte
appLRegisterDescriptionText,Create an account to access our vendor portal and start managing your bookings.,Crea una cuenta para acceder a nuestro portal de proveedores y comenzar a gestionar tus reservas.,أنشئ حسابًا للوصول إلى بوابة البائعين الخاصة بنا وابدأ في إدارة حجوزاتك.,Créez un compte pour accéder à notre portail fournisseurs et commencer à gérer vos réservations.
appLNewTo,New To,nuevo en,جديد ل,Nouveau à
appLLogInAndStay,Login And Stay,Inicia sesión y quédate,تسجيل الدخول والبقاء,Connectez-vous et restez
appLOurSecureLogIn,Our Secure LogIn,Nuestro inicio de sesión seguro,تسجيل الدخول الآمن الخاص بنا,Notre connexion sécurisée
appLResetYourForgotten,Reset Your Forgotten,Restablece tus olvidados,إعادة ضبط ما نسيته,Réinitialisez vos oubliés
appLTakeControl,Take Control,Tomar el control,السيطرة,Contrôler
appLRememberMe,remember Me,Acuérdate de mí,تذكرنى,souviens-toi de moi
appLRegisterForAnAccount,Register For An Account,Regístrese para obtener una cuenta,سجل للحصول على حساب,Créer un compte
appLBecomeAPart,Become A Part,Conviértete en parte,كن جزءًا,Devenez membre
appLNowYouAreAble,Now You Are Able,Ahora eres capaz,الآن أنت قادر,Maintenant vous êtes capable
appLAddCar,Add Car,Añadir coche,أضف سيارة,Ajouter une voiture
appLTurnYou,Turn Your Car into an,Convierte tu coche en un,تحويل سيارتك إلى,Transformez votre voiture en un
appLEaringMachine,Earning Machine!,¡Máquina de ganar!,آلة الكسب!,Machine à gagner !
appLEarnExtra,Earn extra income effortlessly.,Obtenga ingresos adicionales sin esfuerzo.,احصل على دخل إضافي دون عناء.,Gagnez un revenu supplémentaire sans effort.
appLReach,Reach thousands of potential renters.,Llegue a miles de inquilinos potenciales.,الوصول إلى الآلاف من المستأجرين المحتملين.,Touchez des milliers de locataires potentiels.
appLEnjoy,Enjoy full control over your car’s availability.,Disfrute de un control total sobre la disponibilidad de su automóvil.,استمتع بالتحكم الكامل في توفر سيارتك.,Profitez d’un contrôle total sur la disponibilité de votre voiture.
